timestamp,actor,category,description
2026-02-09T14:58:06.403978+00:00,Homeowner,Moisture Probes,"Gophr 2ac860 (FluxOpenHome Gophr) — entities updated: Extra calibrate_dry: (none) -> ['button.gophr_2ac860_calibrate_moisture_1_dry', 'button.gophr_2ac860_calibrate_moisture_2_dry', 'button.gophr_2ac860_calibrate_moisture_3_dry'], Extra calibrate_wet: (none) -> ['button.gophr_2ac860_calibrate_moisture_1_wet', 'button.gophr_2ac860_calibrate_moisture_2_wet', 'button.gophr_2ac860_calibrate_moisture_3_wet']"
2026-02-09T14:54:17.225350+00:00,Homeowner,Moisture Probes,"Gophr 2ac860 (FluxOpenHome Gophr) — Removed zones: switch.irrigation_ctrl_v2_793a8c_zone_10, switch.irrigation_ctrl_v2_793a8c_zone_12, switch.irrigation_ctrl_v2_793a8c_zone_7"
2026-02-09T14:49:43.301119+00:00,Homeowner,Moisture Probes,Sleep enabled for Gophr 2ac860 (FluxOpenHome Gophr) (applied immediately)
2026-02-09T14:42:25.551062+00:00,Management,Moisture Probes,Queued sleep disable for Gophr 2ac860 (FluxOpenHome Gophr) (pending wake)
2026-02-09T14:17:19.312829+00:00,Management,Moisture Probes,Queued sleep duration for Gophr 2ac860 (FluxOpenHome Gophr): 10.0 min (pending wake)
2026-02-09T14:00:53.952524+00:00,Homeowner,Device Config,Weather entity: weather.forecast_home -> weather.korl
2026-02-09T13:39:44.220049+00:00,Homeowner,Connection Key,ZIP: 32765 -> 32827
2026-02-09T13:39:44.219706+00:00,Homeowner,Connection Key,City: Oviedo -> ORLANDO
2026-02-09T13:39:44.219234+00:00,Homeowner,Connection Key,"Address: 515 Superior Commerce Point, Suite 1125 -> 8460 KARRER TER"
2026-02-09T13:21:16.495313+00:00,Homeowner,Moisture Probes,"Gophr 2ac860 (FluxOpenHome Gophr) — Added zones: switch.irrigation_ctrl_v2_793a8c_zone_10, switch.irrigation_ctrl_v2_793a8c_zone_12"
2026-02-09T13:13:18.999684+00:00,Management,Moisture Probes,Queued sleep duration for Gophr 2ac860 (FluxOpenHome Gophr): 1.0 min (pending wake)
2026-02-09T13:09:33.604812+00:00,Management,Schedule,Set 793A8C Zone 11 Duration: 1.0 -> 10
2026-02-09T13:09:28.983173+00:00,Management,Schedule,Set 793A8C Zone 10 Duration: 1.0 -> 15
2026-02-09T13:04:24.119790+00:00,Homeowner,Schedule,Set 793A8C Zone 9 Duration: 1.0 -> 10
2026-02-09T13:04:06.692148+00:00,Management,Schedule,Set 793A8C Zone 7 Duration: 2.0 -> 20
2026-02-09T12:58:48.673825+00:00,Management,Schedule,Set 793A8C Zone 6 Duration: 1.0 -> 15
2026-02-09T12:58:30.998915+00:00,Management,Schedule,Set 793A8C Zone 5 Duration: 1.0 -> 10
2026-02-09T12:58:23.683959+00:00,Management,Schedule,Set 793A8C Zone 5 Duration: 1.0 -> 2
2026-02-09T12:58:16.537741+00:00,Management,Schedule,Set 793A8C Zone 4 Duration: 1.0 -> 40
2026-02-09T12:58:07.681636+00:00,Management,Schedule,Set 793A8C Zone 3 Duration: 2.0 -> 20
2026-02-09T12:58:00.495792+00:00,Management,Schedule,Set 793A8C Zone 2 Duration: 1.0 -> 30
2026-02-09T12:57:54.925626+00:00,Management,Schedule,Set 793A8C Zone 1 Duration: 1.0 -> 15
2026-02-09T12:57:30.335829+00:00,Management,Moisture Probes,Queued sleep duration for Gophr 2ac860 (FluxOpenHome Gophr): 15.0 min (pending wake)
2026-02-09T12:51:05.336576+00:00,Management,Weather Rules,Humidity — Enabled
2026-02-09T12:51:05.336075+00:00,Management,Weather Rules,Cool Temperature — Enabled
2026-02-09T12:49:10.329877+00:00,Homeowner,Moisture Probes,Queued sleep duration for Gophr 2ac860 (FluxOpenHome Gophr): 10.0 min (pending wake)
2026-02-09T12:41:47.485039+00:00,Homeowner,Moisture Probes,Set sleep duration for Gophr 2ac860 (FluxOpenHome Gophr): 2.0 min (applied immediately)
2026-02-09T12:38:02.196947+00:00,Homeowner,Moisture Probes,"Gophr 2ac860 (FluxOpenHome Gophr) — Removed zones: switch.irrigation_ctrl_v2_793a8c_zone_10, switch.irrigation_ctrl_v2_793a8c_zone_5"
